"","TCGA-A7-A0CE-11A-21R-A089-07","TCGA-A7-A0CE-01A-11R-A00Z-07","TCGA-A7-A0D9-11A-53R-A089-07","TCGA-A7-A0D9-01A-31R-A056-07","TCGA-BH-A0B3-01A-11R-A056-07","TCGA-BH-A0B3-11B-21R-A089-07","TCGA-BH-A0B8-11A-41R-A089-07","TCGA-BH-A0B8-01A-21R-A056-07","TCGA-BH-A0C0-01A-21R-A056-07","TCGA-BH-A0C0-11A-21R-A089-07"
"ENSG00000000003.15",3814.8563754552,7839.5125984139,5041.5894825158,2688.09174492743,2721.58490066756,4769.95053909014,4498.91557907619,3197.85216006984,3812.73288454762,3862.32699084954
"ENSG00000000005.6",226.070812515365,50.2115621295636,5048.57810114972,72.760378058186,12.0715459303803,325.800879517984,939.802164007881,51.2087577255179,4.93238406797881,139.561953853311
"ENSG00000000419.13",1746.91082398237,2230.69513979302,1741.5637635749,4157.44715738024,2024.7274765047,1351.15689427805,1790.52967236117,1871.81485475643,3753.54427573188,1242.70237378475
"ENSG00000000457.14",844.044945786206,1201.35811613697,936.474896946377,1460.26036519554,1041.4451898119,1331.41138642847,966.911841815801,1396.11244746412,1583.2952858212,1467.06991682165
"ENSG00000000460.17",192.762573680813,1715.56170609342,282.340192810699,312.263289166382,1123.75118479177,265.859159260346,237.532415078915,552.515543880588,877.964364100229,274.449583893354
"ENSG00000000938.13",610.887273944341,264.075623051779,1354.39429125528,201.101600466375,881.222852917762,399.84653395389,609.322282158956,191.359042026935,1651.11556675591,229.041866850171
"ENSG00000000971.16",4062.18776595007,1539.82123863995,19681.3477968686,1670.45701291919,2598.67461483096,3439.24434937058,8459.5104131094,1848.9056736687,2473.59061009137,3485.71004360902
"ENSG00000001036.14",2215.35222546405,6629.78588858867,3471.94573733552,2477.89509720378,3549.03450353181,1540.85480897575,2661.91217333001,2351.56005871128,3631.4677700494,1000.97305658428
"ENSG00000001084.13",1710.76784141721,1767.63295570927,4665.60180001046,2030.21665998466,1885.35599167212,2386.3856629629,5265.73217992877,2134.59663782159,2086.39846075504,1381.59656709331
"ENSG00000001167.14",1329.49480965149,2365.52248254833,1441.05316231599,2716.38744750561,3369.0587278425,1751.70862494085,1635.61722774449,4207.20372681755,1956.92337897059,1993.93298663152
"ENSG00000001460.18",596.71355529134,1071.17999209736,928.088554585664,437.57282915548,623.330735314183,504.920843581984,773.271286044946,534.996758342911,685.601385449055,643.053404596837
"ENSG00000001461.17",3374.05372534687,4983.96246323076,1811.44994991419,2689.10230573379,2076.30590002541,3427.96120202797,1901.55025766979,3417.51077873457,2352.74720042589,4377.83813139861
"ENSG00000001497.18",2707.18026272318,4405.59965499763,2629.11833008379,3398.51599180111,3318.57771758819,2276.37497637241,2398.56101748165,3642.55979294934,3769.57452395281,2497.42443737505
"ENSG00000001561.7",819.949624076104,878.702337267363,2754.91346549449,2207.06480109831,762.702220146756,1617.72125024731,3122.77669606465,765.436168107742,949.483933085921,1178.59736148849
"ENSG00000001617.12",3606.50271125609,3219.11903875091,1576.6323638142,10192.5162929842,5258.80437258022,2459.72612068989,3084.04858491048,7616.62891222704,5007.60292501549,2635.65087013885
"ENSG00000001626.16",196.306003344063,0.929843743140066,47.5226067107117,56.5914051563669,10.9741326639821,166.426423303559,51.6374815388946,8.08559332508178,13.5640561869417,28.7137034243655
"ENSG00000001629.10",2238.7388612415,7124.46275993919,4880.85125393545,7201.25630614769,3715.84132002434,3437.12875924384,5274.76873919808,3514.53789863555,4786.87873797344,3521.10135248092
"ENSG00000001630.17",75.829394793555,153.424217618111,39.1362643499979,165.731972243646,93.2801276438478,69.1092774735118,45.1827963465327,167.10226205169,76.4519530536716,129.545545682021
"ENSG00000001631.16",379.855659900425,461.202496597473,331.260523248196,561.871808338214,239.23609207481,361.765911672567,411.808915272684,219.658618664722,329.236636537586,352.577567629418
"ENSG00000002016.18",441.511336040979,899.158899616444,542.316805992828,699.308078003677,156.930097094944,478.123368643275,432.463907888242,548.472747218048,351.43236484349,705.82289580359
"ENSG00000002079.14",9.21291712445061,9.29843743140066,2.79544745357128,19.2006553209102,20.850852061566,19.0403111406614,5.16374815388946,1.34759888751363,8.63167211896292,11.3519292607957
"ENSG00000002330.14",569.074803917988,282.67249791458,504.578265369615,384.013106418204,554.193699531096,308.170961795149,574.466982120202,673.799443756815,577.088935953521,330.54146965258
"ENSG00000002549.12",6384.55156724427,6877.12432426393,6792.9373121782,4527.31241250935,12023.2597466588,6107.00349918992,7189.2283672526,4759.71927069814,11272.9637873656,4614.22536424106
"ENSG00000002586.20",8894.00845475809,5282.44230477872,25241.4927820218,7965.24027575865,22534.2840122208,5749.46876777083,19247.8712436229,6693.5236742802,7090.30209771954,5197.84808035491
"ENSG00000002587.10",235.992415572466,115.300624149368,135.579201498207,77.8131820900045,332.516219718657,464.724631173921,423.427348618935,149.583476514013,239.220627296972,507.498014012042
"ENSG00000002726.21",37.5603544304525,25.1057810647818,60.1021202517824,1101.51127893643,31.8249847255481,29.6182617743622,34.8553000387538,25.604378862759,45.624552628804,4.00656326851612
"ENSG00000002746.15",39.6864122284026,27.895312294202,8.38634236071383,29.3062633845472,64.7473827174944,27.502671647622,10.3274963077789,22.9091810877317,17.2633442379258,53.4208435802149
"ENSG00000002822.15",11.3389749224008,17.6670311196613,12.5795135410707,11.1161688700006,27.4353316599552,11.2831473426142,11.6184333462513,29.6471755252999,48.0907446627934,14.0229714398064
"ENSG00000002834.18",11308.5014272968,10527.6908598318,23691.4171690166,11634.5865636652,15600.8269951169,9724.66261591559,22156.3523913012,27558.3972496537,21886.221205639,10031.7666638196
"ENSG00000002919.15",1378.39413900434,1266.44717815677,2255.92609503202,1507.75672309463,1882.06375187293,1424.49735200504,2487.63567313625,2464.75836526243,3042.04787392593,1199.96569892058
"ENSG00000002933.9",3687.29290757819,2168.39560900263,1884.13158370704,2456.67332027014,2878.5149977625,1710.10201911496,1643.36284997532,478.397605067339,3187.55320393131,993.627690591998
"ENSG00000003056.8",2571.82124958702,7521.50603826,3990.501239973,3389.42094454383,4234.91779503069,3526.68874127584,2985.93736998658,5161.3037391772,4085.24710430345,3509.74942322012
"ENSG00000003096.14",3415.86619537323,1504.48717640063,424.908012942834,442.625633187298,231.554199210022,1773.56972291716,526.702311696725,328.814128553326,959.348701221879,4025.92832431395
"ENSG00000003137.8",280.639629329419,448.184684193512,6384.80198395679,284.978147394562,538.829913801521,363.881501799307,3569.44091137609,130.717092088822,194.829170685163,292.479118601677
"ENSG00000003147.19",2173.53975543769,5072.29761882906,1337.62160653386,2532.46538074742,1302.62954721467,1460.46238415962,1574.94318693628,3114.301029044,2764.60127010212,1865.72296203901
"ENSG00000003249.15",715.064106043897,1628.15639423826,259.976613182129,6457.48355266401,2417.60142587526,406.898501043023,185.89493354002,843.596903583532,2684.45002899747,536.211717436407
"ENSG00000003393.15",1116.88902985647,1376.1687398473,1854.77938544454,2001.92095740648,945.970235635257,1552.84315302727,2028.06208744008,2437.80638751216,2845.98560722377,1668.73360133696
"ENSG00000003400.15",676.795065680795,277.09343545574,1643.72310269991,280.935904169107,801.111684470693,803.219051452346,2149.41016905649,347.680512978517,981.544429527784,568.931984129289
"ENSG00000003402.20",5123.79929305984,4506.9526229999,16511.3103845187,3117.580087632,5823.9722047753,7788.89764994834,14534.6601161603,2394.68322311172,4751.11895348059,6607.49059032783
"ENSG00000003436.16",2271.3384141434,577.432964489981,4056.19425513192,4211.00688011752,422.504107563311,4056.29146966979,4962.36197588777,530.95396168037,572.156551885542,2247.01423309279
"ENSG00000003509.16",613.013331742291,1059.09202343654,644.350638048179,952.958840400965,745.143607884384,586.018465107023,613.195093274373,605.07190049362,847.136963675361,569.599744674042
"ENSG00000003756.17",4858.04206831607,2263.23967080292,4770.43107951938,4169.57388705661,2736.94868639713,5446.23418293808,4660.28270888523,2280.13731767306,2587.03544365489,5678.63567257685
"ENSG00000003987.14",59.529618342604,256.636873106658,92.2497659678521,194.027674821829,77.9163419142729,73.3404577269921,69.7106000775077,35.0375710753544,32.0604964418623,86.8088708178492
"ENSG00000003989.18",6121.62908623111,9998.60976998513,2271.30105602666,13101.9208545053,127.299938902192,2887.78052300031,2641.25718071446,2807.04848269089,2487.15466627832,3384.21044080662
"ENSG00000004059.11",4621.34096681096,9899.11648946915,3293.03710030696,7218.43583985587,7774.07557916492,2714.30213260762,2699.34934744571,5814.88919962131,5781.98722368816,2896.0774825924
"ENSG00000004139.14",304.02626510687,401.692497036509,278.147021630342,222.323377400013,75.7215153814765,294.772224325795,194.931492809327,1590.16668726608,192.362978651174,396.649763583096
"ENSG00000004142.12",5043.00909673773,11558.8875709742,6871.2098408782,8597.85134054232,8543.36227891006,4037.25115852913,7417.7242230622,9673.06481457284,12069.5438143442,4178.17772851756
"ENSG00000004399.13",8982.59419633935,5705.52120790745,21095.8442083756,6535.29673475402,6752.38382814818,6119.69703995036,22495.8688324194,8621.93768231221,16086.9706377129,5018.88825436119
"ENSG00000004455.17",6013.9088244683,9374.68461833815,7574.26487545137,8362.39067265958,7625.92478820116,5670.48673637253,7162.11868944468,6035.89541717355,5853.50679267385,5955.08853810446
"ENSG00000004468.13",245.205332696916,204.565623490815,275.351574176771,45.4752362863663,1146.79686338613,275.02671647622,262.06021880989,49.8611588380043,2002.5479315994,128.877785137268
"ENSG00000004478.8",11180.2292734871,16668.3789395288,2374.7326118088,17841.451036351,8814.42335571042,5169.79707304403,3192.48729614216,22056.1509919356,14538.2020403675,8415.11838497336
